mls_number,city,address,postal_code,price,price_numeric,property_type,building_type,bedrooms,bathrooms,size_interior,size_exterior,lot_size,year_built,parking_type,parking_spaces,ownership_type,heating_type,cooling_type,basement_type,agent_name,brokerage,time_on_realtor,annual_tax,tax_account_id,assessed_value_2025,assessed_value_2026,taxable_assessment_2025,taxable_assessment_2026,tax_municipal_2025,tax_municipal_2026,tax_education_2025,tax_education_2026,tax_library_2025,tax_library_2026,tax_total_2025,tax_total_2026,tax_property_class,tax_property_type,tax_lot_size_sqft,tax_ward,tax_valuation_approach
SK025726,Regina,"1562 Argyle STREET|Regina, Saskatchewan S4T3S3",S4T3S3,"$130,000",130000,"Single Family",House,2,1,"818 sqft",,"3123 sqft",1928,None,,Freehold,"Forced air, (Natural gas)",,"Full (Unfinished)","Lisa Trombetta","Realty Hub Brokerage",,"$876 (CAD)",10031775,65200,65200,52100,52100,506.86,562.11,222.46,222.46,45.55,49.81,875.87,935.38,"Residential (100.00%)",Residential,3123,8,"Direct Sales"
SK026264,Regina,"1917 Wallace STREET|Regina, Saskatchewan S4N4A1",S4N4A1,"$129,900",129900,"Single Family",House,2,1,"772 sqft",,"3124 sqft",1912,"Parking Pad, None, Gravel, Parking Space(s) (2)",2,Freehold,"Forced air, (Natural gas)",,"Full (Unfinished)","Chris Untereiner","Coldwell Banker Local Realty",,"$1,137 (CAD)",10033527,87100,87100,69600,69600,677.12,750.92,297.19,297.19,60.85,66.54,1136.16,1215.65,"Residential (100.00%)",Residential,3124,6,"Direct Sales"
SK016271,Regina,"1705 Quebec STREET|Regina, Saskatchewan S4P1J4",S4P1J4,"$129,900",129900,"Single Family",House,2,1,"630 sqft",,"2067 sqft",1946,"Parking Space(s) (2)",2,Freehold,"Forced air, (Natural gas)",,"Full (Unfinished)","Qing Zhang","Royal LePage Next Level",,"$867 (CAD)",10033219,64400,64400,51500,51500,501.03,555.64,219.90,219.90,45.03,49.24,866.96,925.78,"Residential (100.00%)",Residential,2067,6,"Direct Sales"
SK007795,Regina,"1351 Retallack STREET|Regina, Saskatchewan S4T2J1",S4T2J1,"$129,900",129900,"Single Family",House,6,2,"936 sqft",,"3129 sqft",1988,"None, Parking Space(s) (2)",2,Freehold,"Forced air, (Natural gas)",,"Full (Finished)","Heather Kosowan","Realtyone Real Estate Services Inc.",,"$1,861 (CAD)",10026726,120400,120400,96300,96300,936.88,1039.00,411.20,411.20,84.20,92.07,1533.28,1643.27,"Residential (100.00%)",Residential,3129,8,"Direct Sales"
SK026942,Regina,"1320 Athol STREET|Regina, Saskatchewan S4T3C5",S4T3C5,"$129,900",129900,"Single Family",House,2,1,"756 sqft",,"3122 sqft",1929,"Detached Garage, Gravel, Parking Space(s) (2)",2,Freehold,"Forced air, (Natural gas)","Central air conditioning","Full (Partially finished)","Jim Christie Realty P.C. Ltd","JC Realty Regina",,"$590 (CAD)",10026855,41200,41200,32900,32900,320.07,354.96,140.48,140.48,28.76,31.45,590.31,627.89,"Residential (100.00%)",Residential,3122,8,"Direct Sales"
SK011287,Regina,"368 Rose STREET|Regina, Saskatchewan S4R1Z1",S4R1Z1,"$129,800",129800,"Single Family",House,2,1,"720 sqft",,"4998 sqft",1952,"Detached Garage, Parking Space(s) (2)",2,Freehold,"Forced air, (Natural gas)",,"Crawl space (Not Applicable)","Carmen Bechard","RE/MAX Crown Real Estate",,"$1,732 (CAD)",10027079,374600,510400,318400,433800,347.04,173.52,179.80,89.90,30.45,15.22,8485.21,11647.27,"Commercial (100.00%)",Industrial,15608,6,"Direct Sales"
SK027767,Regina,"336 SMITH STREET|Regina, Saskatchewan S4R2K9",S4R2K9,"$125,000",125000,"Single Family",House,1,1,"540 sqft",,,1953,"None, Parking Space(s) (3)",3,Freehold,"Forced air, (Natural gas)",,"Crawl space","Brandon Kayter","eXp Realty",,"$1,094 (CAD)",10017288,92100,92100,73600,73600,716.03,794.08,314.27,314.27,64.35,70.37,1229.99,1314.06,"Residential (100.00%)",Residential,4185,7,"Direct Sales"
SK016655,Regina,"1328 Retallack STREET|Regina, Saskatchewan S4T2H9",S4T2H9,"$124,900",124900,"Single Family",House,3,1,"1146 sqft",,"3125 sqft",1912,"Detached Garage, Parking Space(s) (1)",1,Freehold,"Forced air, (Natural gas)","Central air conditioning","Full (Unfinished)","Gail Fiacco","C&C REALTY",,"$785 (CAD)",10026744,57500,57500,46000,46000,447.52,496.30,196.42,196.42,40.22,43.98,785.16,837.70,"Residential (100.00%)",Residential,3122,8,"Direct Sales"
SK016417,Regina,"3303 Dewdney AVENUE|Regina, Saskatchewan S4T0Y9",S4T0Y9,"$124,900",124900,"Single Family",House,2,1,"1033 sqft",,"3376 sqft",1925,"Parking Space(s) (1)",1,Freehold,"Forced air, (Natural gas)",,"Full (Unfinished)","Shaheen Zareh","eXp Realty",,"$747 (CAD)",10032173,53700,53700,42900,42900,417.36,462.85,183.18,183.18,37.51,41.01,747.13,796.12,"Residential (100.00%)",Residential,3376,8,"Direct Sales"
SK025673,Regina,"11 23 Centennial STREET|Regina, Saskatchewan S4S6K7",S4S6K7,"$120,900",120900,"Single Family",Apartment,2,1,"909 sqft",,,1974,"Surfaced (1), Parking Space(s) (1)",2,Condominium/Strata,"Hot Water","Wall unit, Window air conditioner",,"Gemma Nance","Coldwell Banker Local Realty",,"$1,020 (CAD)",10063682,85800,85800,68600,68600,667.39,740.13,292.92,292.92,59.98,65.59,1020.29,1098.64,"Condominium (100.00%)",Multi-Family,0,1,"Direct Sales"
SK025143,Regina,"1056 McTavish STREET|Regina, Saskatchewan S4T3V3",S4T3V3,"$120,000",120000,"Single Family",House,2,1,"608 sqft",,"3756 sqft",1924,"None, Parking Space(s) (2)",2,Freehold,"Forced air, (Natural gas)","Window air conditioner",,"Stacey Maduck","Century 21 Dome Realty Inc.",,"$954 (CAD)",10024988,72800,72800,58200,58200,566.21,627.93,248.51,248.51,50.88,55.64,953.80,1020.28,"Residential (100.00%)",Residential,3756,8,"Direct Sales"
SK011585,Regina,"5801 Parliament AVENUE|Regina, Saskatchewan S4W0L3",S4W0L3,"$120,000",120000,"Vacant Land",Unknown,,,,,"13500 sqft",,,,Freehold,,,,"Shirley A MacFarlane","Global Direct Realty Inc.",,"$460 (CAD)",10269146,45100,45100,24800,24800,31.65,15.82,0.92,0.46,2.77,1.39,460.04,485.27,"Other Agricultural (100.00%)","Urban Holding",13486,2,Cost
SK020227,Regina,"840 Argyle STREET|Regina, Saskatchewan S4T3P8",S4T3P8,"$119,900",119900,"Single Family",House,2,1,"720 sqft",,"5000 sqft",1951,"Parking Space(s) (2)",2,Freehold,"Forced air, (Natural gas)","Central air conditioning","Partial (Partially finished)","Elyse Gusway","eXp Realty",,"$956 (CAD)",10021264,70500,70500,56400,56400,548.70,608.51,240.82,240.82,49.31,53.92,956.43,1020.85,"Residential (100.00%)",Residential,5000,8,"Direct Sales"
SK023861,Regina,"846 Montague STREET|Regina, Saskatchewan S4T3H2",S4T3H2,"$119,900",119900,"Single Family",House,4,1,"1192 sqft",,"4999 sqft",1953,"Detached Garage, Parking Space(s) (2)",2,Freehold,"Forced air, (Natural gas)",,Full,"Melanie Robertson","Realty Executives Diversified Realty",,"$1,560 (CAD)",10021158,117600,117600,94000,94000,914.50,1014.18,401.38,401.38,82.19,89.87,1559.67,1667.03,"Residential (100.00%)",Residential,4999,8,"Direct Sales"
SK025842,Regina,"17 2620 5th AVENUE N|Regina, Saskatchewan S4R5E5",S4R5E5,"$119,900",119900,"Single Family",Apartment,2,1,"915 sqft",,,1967,"Parking Space(s) (1)",1,Condominium/Strata,"Baseboard heaters, Hot Water, (Natural gas)",,,"Hamzah Shaikh","Royal LePage Next Level",,"$1,114 (CAD)",10221550,91200,91200,72900,72900,709.22,786.53,311.27,311.27,63.74,69.70,1114.29,1197.56,"Condominium (100.00%)",Multi-Family,0,7,"Direct Sales"
SK028063,Regina,"22 38 Spence STREET|Regina, Saskatchewan S4S4H4",S4S4H4,"$119,900",119900,"Single Family",Apartment,1,1,"639 sqft",,,1964,"Surfaced (1), Parking Space(s) (1)",2,Condominium/Strata,"Hot Water","Wall unit",,"Stacey Maduck","Century 21 Dome Realty Inc.",,"$1,168 (CAD)",10154644,90000,90000,72000,72000,700.47,776.82,307.44,307.44,62.95,68.84,1087.46,1169.70,"Condominium (100.00%)",Multi-Family,0,1,"Direct Sales"
SK025920,Regina,"17 2201 14th AVENUE|Regina, Saskatchewan S4P0X9",S4P0X9,"$119,900",119900,"Single Family",Apartment,2,1,"744 sqft",,0.00,1914,"Surfaced (1), Parking Space(s) (1)",2,Condominium/Strata,"Hot Water, (Natural gas)","Wall unit",,"Jim Christie Realty P.C. Ltd","JC Realty Regina",,"$1,032 (CAD)",10069394,85200,85200,68100,68100,662.52,734.74,290.78,290.78,59.54,65.11,1032.23,1110.02,"Condominium (100.00%)",Multi-Family,0,1,"Direct Sales"
SK007308,Regina,"1254 Wascana STREET|Regina, Saskatchewan S4T4J1",S4T4J1,"$119,000",119000,"Single Family",House,3,2,"773 sqft",,"2248 sqft",1915,"Attached Garage, Parking Space(s) (1)",1,Freehold,"Forced air, (Natural gas)",,"Full (Finished)","Alyssa Campbell","Realty Executives Diversified Realty",,"$1,102 (CAD)",10025205,84200,84200,67300,67300,654.74,726.11,287.37,287.37,58.84,64.34,1101.95,1178.82,"Residential (100.00%)",Residential,2248,8,"Direct Sales"
SK026487,Regina,"760 Rae STREET|Regina, Saskatchewan S4T2A9",S4T2A9,"$119,000",119000,"Single Family",House,3,1,"800 sqft",,"3126 sqft",1962,"Parking Space(s) (1)",1,Freehold,"(Natural gas)",,"Crawl space (Not Applicable)","Anna Garg","Realty Executives Diversified Realty",,"$1,037 (CAD)",10022001,87200,87200,69700,69700,678.09,752.00,297.61,297.61,60.94,66.64,1110.14,1189.75,"Residential (100.00%)",Residential,3126,8,"Direct Sales"
SK027770,Regina,"306 4615 Rae STREET|Regina, Saskatchewan S4S3B2",S4S3B2,"$119,000",119000,"Single Family",Apartment,1,1,"654 sqft",,0.00,1968,"Surfaced (1), None, Parking Space(s) (1)",2,Condominium/Strata,"Baseboard heaters, Hot Water","Wall unit",,"Katie Ripplinger","Realty Executives Diversified Realty",,"$1,170 (CAD)",10063918,97300,97300,77800,77800,756.89,839.39,332.20,332.20,68.02,74.38,1169.76,1258.62,"Condominium (100.00%)",Multi-Family,0,2,"Direct Sales"
SK018940,Regina,"1253 Athol STREET|Regina, Saskatchewan S4T3C4",S4T3C4,"$118,500",118500,"Single Family",House,3,1,"756 sqft",,"3124 sqft",1953,"Gravel, Parking Space(s) (3)",3,Freehold,"Forced air, (Natural gas)",,"Full (Finished)","Paul Jardine","Sutton Group - Results Realty",,"$1,258 (CAD)",10026132,83700,83700,66900,66900,650.85,721.79,285.66,285.66,58.49,63.96,1096.00,1172.41,"Residential (100.00%)",Residential,3124,8,"Direct Sales"
SK027460,Regina,"1447 ROBINSON STREET|Regina, Saskatchewan S4T2N7",S4T2N7,"$114,900",114900,"Single Family",House,4,2,"1120 sqft",,"3125 sqft",1924,"None, Gravel, Parking Space(s) (3)",3,Freehold,"Forced air, (Natural gas)",,"Full (Unfinished)","Cliff Iverson","RE/MAX Crown Real Estate",,"$1,017 (CAD)",10026605,77000,77000,61600,61600,599.29,664.61,263.03,263.03,53.86,58.89,1017.18,1087.53,"Residential (100.00%)",Residential,3125,8,"Direct Sales"
SK025672,Regina,"14 125 Froom CRESCENT|Regina, Saskatchewan S4N1S8",S4N1S8,"$110,900",110900,"Single Family",Apartment,2,1,"789 sqft",,,1965,"Surfaced (1), Parking Space(s) (1)",2,Condominium/Strata,"Hot Water","Wall unit, Window air conditioner",,"Gemma Nance","Coldwell Banker Local Realty",,"$798 (CAD)",10216687,64900,64900,51900,51900,504.92,559.95,221.60,221.60,45.38,49.62,798.20,857.47,"Condominium (100.00%)",Multi-Family,0,6,"Direct Sales"
SK025993,Regina,"1668 Ottawa STREET|Regina, Saskatchewan S4P1N9",S4P1N9,"$110,500",110500,"Single Family",House,2,1,"612 sqft",,"3118 sqft",1910,"Parking Space(s) (3)",3,Freehold,"Forced air, (Natural gas)",,"Crawl space","Corrine Boivin-Englund","RE/MAX Crown Real Estate",,"$619 (CAD)",10033356,43600,43600,34800,34800,338.56,375.46,148.59,148.59,30.42,33.27,618.57,658.32,"Residential (100.00%)",Residential,3118,6,"Direct Sales"
SK027556,Regina,"1932 Quebec STREET|Regina, Saskatchewan S4P1J7",S4P1J7,"$110,000",110000,"Single Family",House,3,1,"947 sqft",,"3123 sqft",1920,"Parking Pad, Parking Space(s) (2)",2,Freehold,"Forced air, (Natural gas)",,"Full (Unfinished)","Joel Hunter","Royal LePage Next Level",,"$821 (CAD)",10032843,60600,60600,48400,48400,470.87,522.19,206.66,206.66,42.32,46.27,820.85,876.12,"Residential (100.00%)",Residential,3123,6,"Direct Sales"
SK021393,Regina,"3231 Dewdney AVENUE|Regina, Saskatchewan S4T0Y7",S4T0Y7,"$110,000",110000,"Single Family",House,3,2,"972 sqft",,"3376 sqft",2020,"Parking Space(s) (1)",1,Freehold,Other,,,"Leo Liu","eXp Realty",,"$1,197 (CAD)",10032232,91500,91500,73200,73200,712.14,789.76,312.56,312.56,64.00,69.98,1197.78,1281.38,"Residential (100.00%)",Residential,3376,8,"Direct Sales"
SK025160,Regina,"52A Nollet AVENUE|Regina, Saskatchewan S4T7P9",S4T7P9,"$109,900",109900,"Single Family","Row / Townhouse",2,1,"899 sqft",,0.00,1977,"Surfaced (1), Other, None, Parking Space(s) (1)",2,Condominium/Strata,"Baseboard heaters, Hot Water","Wall unit","Crawl space (Not Applicable)","Katie Ripplinger","Realty Executives Diversified Realty",,"$1,294 (CAD)",,,,,,,,,,,,,,,,,,
SK014237,Regina,"18 2060 Lorne STREET|Regina, Saskatchewan S4P2M2",S4P2M2,"$109,500",109500,"Single Family",Apartment,1,1,"554 sqft",,,1964,"Surfaced (1), Parking Space(s) (1)",2,Condominium/Strata,"Baseboard heaters, Hot Water","Wall unit",,"Mariel Harvey","Realtyone Real Estate Services Inc.",,"$1,389 (CAD)",10210570,115300,115300,92200,92200,896.99,994.76,393.68,393.68,80.61,88.15,1388.69,1494.00,"Condominium (100.00%)",Multi-Family,11,1,"Direct Sales"
SK026383,Regina,"1115 Robinson STREET|Regina, Saskatchewan S4T2N1",S4T2N1,"$109,000",109000,"Single Family",House,4,2,"704 sqft",,"3251 sqft",1928,"None, Parking Space(s) (2)",2,Freehold,"Forced air, (Natural gas)",,"Full (Finished)","Thi Vo","eXp Realty",,"$416 (CAD)",10026301,35100,35100,28000,28000,272.40,302.09,119.56,119.56,24.48,26.77,521.48,553.46,"Residential (100.00%)",Residential,3251,8,"Direct Sales"
SK027337,Regina,"11 2060 Lorne STREET|Regina, Saskatchewan S4P2M2",S4P2M2,"$109,000",109000,"Single Family",Apartment,1,1,"552 sqft",,0.00,1964,"Surfaced (1), Parking Space(s) (1)",2,Condominium/Strata,"Baseboard heaters, Hot Water","Wall unit",,"Karen Ryan","Realty Executives Diversified Realty",,"$1,490 (CAD)",10210561,115000,115000,92000,92000,895.04,992.60,392.84,392.84,80.44,87.96,1385.73,1490.81,"Condominium (100.00%)",Multi-Family,0,1,"Direct Sales"
SK027871,Regina,"5 2125 Lorne STREET|Regina, Saskatchewan S4P2M6",S4P2M6,"$108,900",108900,"Single Family",Apartment,1,1,"469 sqft",,,1965,"Parking Space(s) (1)",1,Condominium/Strata,"Hot Water","Window air conditioner",,"Jonah Franklin","Century 21 Dome Realty Inc.",,"$1,802 (CAD)",10210484,118700,118700,94900,94900,923.26,1023.89,405.22,405.22,82.97,90.73,1428.98,1537.37,"Condominium (100.00%)",Multi-Family,0,1,"Direct Sales"
SK012110,Regina,"6116 Parliament AVENUE|Regina, Saskatchewan S4W0L3",S4W0L3,"$108,000",108000,"Vacant Land",Unknown,,,,,"20250 sqft",,,,Freehold,,,,"Shirley A MacFarlane","Global Direct Realty Inc.",,"$544 (CAD)",10268616,67700,67700,37200,37200,37.47,18.73,1.09,0.54,3.29,1.64,544.76,574.60,"Other Agricultural (100.00%)","Urban Holding",20236,2,Cost
SK027914,Regina,"20 4505 RAE STREET|Regina, Saskatchewan S4S3B2",S4S3B2,"$105,000",105000,"Single Family",Apartment,1,1,"700 sqft",,,1966,"Surfaced (1), Other, None, Parking Space(s) (1)",2,Condominium/Strata,"Hot Water, (Natural gas)",,,"Kim Oberthier","RE/MAX Crown Real Estate",,"$1,225 (CAD)",10063868,101400,101400,81100,81100,789.00,875.00,346.29,346.29,70.91,77.54,1225.35,1317.98,"Condominium (100.00%)",Multi-Family,0,2,"Direct Sales"
SK027873,Regina,"1128 Garnet STREET|Regina, Saskatchewan S4T2X8",S4T2X8,"$105,000",105000,"Single Family",House,2,1,"756 sqft",,"3123 sqft",1928,"Parking Space(s) (3)",3,Freehold,"Forced air, (Natural gas)",,"Full (Unfinished)","Tarun Sharma","Royal LePage Next Level",,"$555 (CAD)",10026164,38200,38200,30500,30500,296.72,329.07,130.23,130.23,26.66,29.16,554.61,589.46,"Residential (100.00%)",Residential,3123,8,"Direct Sales"
