mls_number,city,address,postal_code,price,price_numeric,property_type,building_type,bedrooms,bathrooms,size_interior,size_exterior,lot_size,year_built,parking_type,parking_spaces,ownership_type,heating_type,cooling_type,basement_type,agent_name,brokerage,time_on_realtor,annual_tax,tax_account_id,assessed_value_2025,assessed_value_2026,taxable_assessment_2025,taxable_assessment_2026,tax_municipal_2025,tax_municipal_2026,tax_education_2025,tax_education_2026,tax_library_2025,tax_library_2026,tax_total_2025,tax_total_2026,tax_property_class,tax_property_type,tax_lot_size_sqft,tax_ward,tax_valuation_approach
SK028049,Regina,"13 Plains GREEN|Pilot Butte, Saskatchewan S0G3Z0",S0G3Z0,"$749,900",749900,"Single Family",House,3,2,"1708 sqft",,"0.17 ac",2025,"Attached Garage, Parking Space(s) (9)",9,Freehold,"Forced air, (Natural gas)","Central air conditioning, Air exchanger","Full (Unfinished)","Lex Kress","Coldwell Banker Local Realty",,,,,,,,,,,,,,,,,,,,
SK028859,Regina,"3809 Goldfinch WAY|Regina, Saskatchewan S4V1S4",S4V1S4,"$747,000",747000,"Single Family",House,3,3,"1614 sqft",,"5504 sqft",2011,"Attached Garage, Parking Space(s) (6)",6,Freehold,"Forced air, (Natural gas)","Central air conditioning","Full (Unfinished)","Myles Schick","eXp Realty","4 days ago","$7,556 (CAD)",10221315,635000,681800,508000,545400,4942.21,5884.43,2169.16,2328.85,444.18,521.47,7555.55,8734.75,"Residential (100.00%)",Residential,5504,4,"Direct Sales"
SK026241,Regina,"8 1651 Anson ROAD|Regina, Saskatchewan S4P1B8",S4P1B8,"$739,000",739000,"Single Family",,3,4,"2394 sqft",,,1910,"Detached Garage, Heated Garage, Parking Space(s) (3)",3,Condominium/Strata,"Forced air, (Natural gas)","Central air conditioning","Full (Finished)","Leah Graham","Royal LePage Next Level",,"$4,985 (CAD)",10174921,419100,419100,335200,335200,3261.08,3616.54,1431.30,1431.30,293.09,320.49,4985.47,5368.33,"Condominium (100.00%)",Multi-Family,0,1,"Direct Sales"
SK025836,Regina,"5006 Wascana Vista COURT|Regina, Saskatchewan S4V2S2",S4V2S2,"$711,000",711000,"Single Family",House,4,3,"2670 sqft",,"6345 sqft",1991,"Attached Garage, Parking Space(s) (6)",6,Freehold,"Forced air, (Natural gas)","Central air conditioning","Crawl space (Not Applicable)","Pratikkumar Shah","eXp Realty",,"$10,329 (CAD)",10052275,868200,848000,694500,678400,6756.62,7319.39,2965.51,2896.76,607.26,648.64,10329.39,10864.79,"Residential (100.00%)",Residential,6345,4,"Direct Sales"
SK026916,Regina,"PILOT BUTTE NORTH LAND|Edenwold Rm No.158, Saskatchewan S0G3Z0",S0G3Z0,"$699,999",699999,"Vacant Land",,,,,,"77.8 ac",,,,Freehold,Other,,,"John Chung","RE/MAX Crown Real Estate",,"$1,421 (CAD)",,,,,,,,,,,,,,,,,,
SK028460,Regina,"3204 Favel DRIVE|Regina, Saskatchewan S4V4B6",S4V4B6,"$699,900",699900,"Single Family",House,3,3,"1827 sqft",,"5226 sqft",2023,"Attached Garage, Parking Space(s) (4)",4,Freehold,"Forced air, (Natural gas)","Central air conditioning","Full (Unfinished)","Heather Szeles","RE/MAX Crown Real Estate",,"$6,699 (CAD)",10359412,563000,566600,450400,453200,4381.83,4889.66,1923.19,1935.15,393.82,433.32,6698.84,7258.13,"Residential (100.00%)",Residential,5226,4,"Direct Sales"
SK028997,Regina,"2402 Truesdale DRIVE|Regina, Saskatchewan S4V0W2",S4V0W2,"$699,000",699000,"Single Family",House,4,4,"2586 sqft",,"5328 sqft",1982,"Attached Garage, Interlocked, Parking Space(s) (4)",4,Freehold,"Forced air, (Natural gas)","Central air conditioning","Full (Finished)","Joshua Rees","Realty Executives Diversified Realty","9 hours ago",,10044965,610500,610500,488400,488400,4751.53,5269.44,2085.46,2085.46,427.05,466.97,7264.04,7821.87,"Residential (100.00%)",Residential,5328,5,"Direct Sales"
SK022255,Regina,"3071 Dumont WAY|Regina, Saskatchewan S4V3Z5",S4V3Z5,"$689,900",689900,"Single Family",House,6,4,"1753 sqft",,"3560 sqft",2025,"Attached Garage, Heated Garage, Parking Space(s) (4)",4,Freehold,"Baseboard heaters, (Electric), Forced air, (Natural gas)","Central air conditioning","Full (Finished)","Vipul (Vipulkumar) Rabari","Royal LePage Next Level",,,10376334,126500,126500,101200,101200,0.00,1091.86,0.00,432.11,0.00,96.76,0.00,1620.73,"Residential (100.00%)",Residential,3560,4,Cost
SK021891,Regina,"3083 Dumont WAY|Regina, Saskatchewan S4V3Z5",S4V3Z5,"$689,900",689900,"Single Family",House,6,4,"1777 sqft",,"3560 sqft",2025,"Attached Garage, Heated Garage, Parking Space(s) (4)",4,Freehold,"Forced air, (Natural gas)","Central air conditioning","Full (Finished)","Rishabh (Rish) Kataria","eXp Realty",,,10376337,126500,126500,101200,101200,0.00,1091.86,0.00,432.11,0.00,96.76,0.00,1620.73,"Residential (100.00%)",Residential,3560,4,Cost
SK022439,Regina,"2953 Bellegarde CRESCENT|Regina, Saskatchewan S4V3X7",S4V3X7,"$687,700",687700,"Single Family",House,3,3,"1973 sqft",,"5953 sqft",2025,"Attached Garage, Parking Space(s) (4)",4,Freehold,"Forced air, (Natural gas)",,"Full (Unfinished)","Jaymie Walker","Realty Hub Brokerage",,"$1,981 (CAD)",10340798,166500,166500,133200,133200,1295.87,1437.12,568.76,568.76,116.46,127.35,1981.09,2133.23,"Residential (100.00%)",Residential,5953,4,Cost
SK027235,Regina,"3033 Bellegarde CRESCENT|Regina, Saskatchewan S4V3W3",S4V3W3,"$684,900",684900,"Single Family",House,4,4,"1765 sqft",,"3977 sqft",2022,"Attached Garage, Heated Garage, Parking Space(s) (4)",4,Freehold,"Baseboard heaters, (Electric), Forced air, (Natural gas)","Central air conditioning","Full (Finished)","Tim Otitoju","Realty Hub Brokerage",,"$6,538 (CAD)",10317051,549500,552400,439600,441900,4276.76,4767.74,1877.09,1886.91,384.38,422.51,6538.23,7077.16,"Residential (100.00%)",Residential,3977,4,"Direct Sales"
SK020641,Regina,"2807 Assiniboine AVENUE|Regina, Saskatchewan S4S1E2",S4S1E2,"$679,900",679900,"Single Family",House,5,3,"2480 sqft",,"7532 sqft",1953,"Detached Garage, Parking Space(s) (4)",4,Freehold,"Forced air, (Natural gas)",,"Partial (Unfinished)","Adrienne Heron","Century 21 Dome Realty Inc.",,"$5,442 (CAD)",10049918,440400,440400,352300,352300,3427.44,3801.03,1504.32,1504.32,308.04,336.84,5441.80,5844.19,"Residential (100.00%)",Residential,7532,3,"Direct Sales"
SK026144,Regina,"7 Vancouver CRESCENT|Pilot Butte, Saskatchewan S0G3Z0",S0G3Z0,"$679,900",679900,"Single Family",House,5,3,"2213 sqft",,"6304 sqft",2025,"Attached Garage, Parking Space(s) (6)",6,Freehold,"Forced air, (Natural gas)","Air exchanger","Full (Partially finished)","Lori Patrick","Sutton Group - Results Realty",,,,,,,,,,,,,,,,,,,,
SK022355,Regina,"1703 Hunter PLACE E|Regina, Saskatchewan S4V0P3",S4V0P3,"$678,000",678000,"Single Family",House,6,4,"2229 sqft",,"6032 sqft",1980,"Attached Garage, Parking Space(s) (4)",4,Freehold,"Forced air, (Natural gas)","Central air conditioning, Air exchanger","Full (Finished)","Thomas (Tom) Wong","Century 21 Dome Realty Inc.",,"$5,514 (CAD)",10044577,463400,463400,370700,370700,3606.45,3999.55,1582.88,1582.88,324.13,354.44,5513.46,5936.87,"Residential (100.00%)",Residential,6032,5,"Direct Sales"
SK028461,Regina,"3252 Favel DRIVE|Regina, Saskatchewan S4V4B3",S4V4B3,"$676,900",676900,"Single Family",House,3,3,"2002 sqft",,"5235 sqft",2025,"Attached Garage, Parking Space(s) (4)",4,Freehold,"Forced air, (Natural gas)",,"Full (Unfinished)","Heather Szeles","RE/MAX Crown Real Estate",,,10359340,165500,165500,132400,132400,1288.08,1428.49,565.34,565.34,115.76,126.59,1969.18,2120.42,"Residential (100.00%)",Residential,5235,4,"Direct Sales"
SK027184,Regina,"1980 Ottawa STREET|Regina, Saskatchewan S4P1P6",S4P1P6,"$674,900",674900,"Single Family",House,4,4,"2598 sqft",,"7771 sqft",2010,"Attached Garage, Parking Space(s) (8)",8,Freehold,"Forced air, (Natural gas)","Central air conditioning, Air exchanger","Full (Unfinished)","Natasha Blaisdell","RE/MAX Crown Real Estate",,"$6,931 (CAD)",10171983,582600,582600,466000,466000,4533.60,5027.76,1989.82,1989.82,407.46,445.56,6930.88,7463.14,"Residential (100.00%)",Residential,7771,6,"Direct Sales"
SK026850,Regina,"460 McIntyre STREET|Regina, Saskatchewan S4R2M3",S4R2M3,"$663,300",663300,"Vacant Land",Unknown,,,,,"10937 sqft",,,,Freehold,,,,"Darya Pfund","Easy List Realty",,"$1,315 (CAD)",10017852,75500,75500,60400,60400,587.61,651.66,257.90,257.90,52.81,57.75,1251.82,1320.81,"Residential (100.00%)",Residential,10923,7,"Direct Sales"
SK028192,Regina,"6925 Maple Ridge DRIVE|Regina, Saskatchewan S4X4J2",S4X4J2,"$659,000",659000,"Single Family",House,4,4,"1795 sqft",,"5278 sqft",2012,"Attached Garage, Heated Garage, Parking Space(s) (6)",6,Freehold,"Forced air, (Natural gas)","Central air conditioning","Full (Finished)","Peter Fourlas","Coldwell Banker Local Realty",,"$6,649 (CAD)",10219132,558800,545100,447000,436000,4348.75,4704.09,1908.69,1861.72,390.85,416.87,6648.29,6982.68,"Residential (100.00%)",Residential,5278,9,"Direct Sales"
SK028069,Regina,"2916 Wimbledon DRIVE|Regina, Saskatchewan S4V2Y2",S4V2Y2,"$649,900",649900,"Single Family",House,5,4,"1837 sqft",,"5418 sqft",1997,"Attached Garage, Parking Space(s) (4)",4,Freehold,"Forced air, In Floor Heating, (Natural gas)","Central air conditioning","Full (Finished)","Kyle Knapp","Realty Hub Brokerage",,"$7,184 (CAD)",10045610,543400,560800,434700,448600,4229.09,4840.03,1856.16,1915.52,380.09,428.92,6465.34,7184.47,"Residential (100.00%)",Residential,5418,4,"Direct Sales"
SK028456,Regina,"8830 Wheat CRESCENT|Regina, Saskatchewan S4Y0H4",S4Y0H4,"$649,900",649900,"Single Family",House,5,4,"1747 sqft",,"3622 sqft",2023,"Attached Garage, Parking Space(s) (4)",4,Freehold,"Forced air, (Natural gas)","Central air conditioning, Air exchanger","Full (Finished)","Gemma Nance","Coldwell Banker Local Realty",,"$6,079 (CAD)",10363164,510900,509000,408700,407200,3976.14,4393.36,1745.14,1738.74,357.36,389.34,6078.64,6521.44,"Residential (100.00%)",Residential,3622,8,"Direct Sales"
SK028667,Regina,"7331 WASCANA COVE PLACE|Regina, Saskatchewan S4V3G2",S4V3G2,"$649,000",649000,"Single Family",House,3,3,"2002 sqft",,"11320 sqft",2004,"Attached Garage, Parking Pad, Parking Space(s) (4)",4,Freehold,"Forced air, (Natural gas)","Central air conditioning, Air exchanger","Full (Unfinished)","Qing Zhang","Royal LePage Next Level","5 days ago","$7,796 (CAD)",10078416,655300,653400,524200,522700,5099.82,5639.51,2238.33,2231.92,458.35,499.77,7796.50,8371.20,"Residential (100.00%)",Residential,11302,4,"Direct Sales"
SK026253,Regina,"506 SOLOMON DRIVE|Regina, Saskatchewan S4N4N7",S4N4N7,"$625,000",625000,"Vacant Land",,,,,,"1.39 ac",,,,Freehold,,,,"John Chung","RE/MAX Crown Real Estate",,"$13,157 (CAD)",10258406,786100,786100,668100,668100,-1126.59,-563.29,-600.00,-300.00,-98.82,-49.41,13157.30,15225.54,"Commercial (100.00%)",Industrial,60701,6,Cost
SK025743,Regina,"2804 14th AVENUE|Regina, Saskatchewan S4T5S8",S4T5S8,"$624,900",624900,"Single Family","Row / Townhouse",3,4,"1605 sqft",,"6244 sqft",2025,"Detached Garage, Parking Space(s) (1)",1,Condominium/Strata,"Forced air, (Natural gas)","Central air conditioning","Full (Finished)","Joel Hunter","Royal LePage Next Level",,"$1,738 (CAD)",,,,,,,,,,,,,,,,,,
SK024402,Regina,"4008 DEWDNEY AVENUE|Regina, Saskatchewan S4T1A2",S4T1A2,"$619,999",619999,Multi-family,Multi-Family,,,,,,1985,,,Condominium/Strata,"Forced air, (Natural gas)","Air Conditioned",,"John Chung","RE/MAX Crown Real Estate",,"$7,784 (CAD)",10059846,642800,642800,514200,514200,5002.53,5547.80,2195.63,2195.63,449.60,491.64,7784.11,8371.42,"Multi-Residential (100.00%)",Multi-Family,0,8,Income
SK024665,Regina,"1138 Poley STREET|Regina, Saskatchewan S4R8H3",S4R8H3,"$619,900",619900,"Single Family",House,6,4,"1785 sqft",,"3675 sqft",2025,"None, Parking Space(s) (2)",2,Freehold,"(Natural gas)",,"Full (Finished)","Mayur Sharma","eXp Realty",,"$1,367 (CAD)",10245336,104100,104100,83200,83200,809.43,897.66,355.26,355.26,72.74,79.55,1366.71,1461.75,"Residential (100.00%)",Residential,3675,10,"Direct Sales"
SK028462,Regina,"3157 Favel DRIVE|Regina, Saskatchewan S4V4C7",S4V4C7,"$618,300",618300,"Single Family",House,3,3,"1944 sqft",,"4272 sqft",2025,"Attached Garage, Parking Space(s) (4)",4,Freehold,"Forced air, (Natural gas)",,"Full (Unfinished)","Heather Szeles","RE/MAX Crown Real Estate",,,10374084,142400,142400,113900,113900,1108.10,1228.89,486.34,486.34,99.59,108.90,1694.03,1824.13,"Residential (100.00%)",Residential,4272,4,"Direct Sales"
SK021814,Regina,"50 Lowry PLACE|Regina, Saskatchewan S4S6C7",S4S6C7,"$604,900",604900,"Single Family",House,4,3,"1729 sqft",,"7312 sqft",1973,"Attached Garage, Parking Space(s) (6)",6,Freehold,"(Natural gas)",,Full,"Erin Holowach",ComFree,,"$4,600 (CAD)",10054647,421000,421000,336800,336800,3276.64,3633.80,1438.13,1438.13,294.49,322.02,5188.60,5573.29,"Residential (100.00%)",Residential,7312,2,"Direct Sales"
SK028078,Regina,"5669 Glide CRESCENT|Regina, Saskatchewan S4W0P2",S4W0P2,"$599,900",599900,"Single Family",House,4,4,"1611 sqft",,"4944 sqft",2015,"Attached Garage, Parking Space(s) (4)",4,Freehold,"(Natural gas)","Central air conditioning","Full (Finished)","Aideen Zareh","eXp Realty",,"$6,080 (CAD)",10264459,511000,509000,408800,407200,3977.12,4393.36,1745.57,1738.74,357.44,389.34,6080.13,6521.44,"Residential (100.00%)",Residential,4944,2,"Direct Sales"
SK028757,Regina,"5614 Beacon PLACE|Regina, Saskatchewan S4W0J7",S4W0J7,"$599,900",599900,"Single Family",House,5,3,"1436 sqft",,"10936 sqft",2016,"Attached Garage, Parking Space(s) (4)",4,Freehold,"Forced air, (Natural gas)","Central air conditioning, Air exchanger","Full (Finished)","Chelsie Wilson","eXp Realty","4 days ago","$6,738 (CAD)",10275134,566300,564300,453000,451400,4407.13,4870.24,1934.31,1927.47,396.09,431.60,6737.53,7229.31,"Residential (100.00%)",Residential,10936,2,"Direct Sales"
SK028941,Regina,"3028 Montague STREET|Regina, Saskatchewan S4S1Z5",S4S1Z5,"$599,900",599900,"Single Family",House,4,4,"1854 sqft",,"3120 sqft",2015,"Detached Garage, Heated Garage, Parking Space(s) (2)",2,Freehold,"(Natural gas)","Central air conditioning","Full (Finished)","Jazz Gill","eXp Realty","3 days ago",,10045918,572500,572500,458000,458000,4455.77,4941.45,1955.66,1955.66,400.46,437.91,6912.89,7436.02,"Residential (100.00%)",Residential,3120,3,"Direct Sales"
SK027304,Regina,"19 MARTIN CRESCENT|Regina, Saskatchewan S4S6L6",S4S6L6,"$595,000",595000,"Single Family",,4,3,"2000 sqft",,,1975,"Attached Garage, Other, Interlocked, Parking Space(s) (5)",5,Condominium/Strata,"Forced air, (Natural gas)","Central air conditioning","Full (Finished)","Elena Schmidt","Realty Executives Diversified Realty",,"$4,910 (CAD)",10062391,383300,383300,306600,306600,2982.84,3307.96,1309.18,1309.18,268.08,293.15,4560.10,4910.29,"Condominium (100.00%)",Multi-Family,0,1,"Direct Sales"
SK028926,Regina,"5175 Boswell CRESCENT|Regina, Saskatchewan S4X4S4",S4X4S4,"$579,900",579900,"Single Family",House,5,4,"1775 sqft",,"4438 sqft",2004,"Attached Garage, Heated Garage, Parking Space(s) (4)",4,Freehold,"(Natural gas)","Central air conditioning","Full (Finished)","Jazz Gill","eXp Realty","3 days ago",,10077976,539500,534600,431600,427600,4198.93,4613.46,1842.93,1825.85,377.38,408.84,6419.24,6848.15,"Residential (100.00%)",Residential,4438,10,"Direct Sales"
SK027850,Regina,"4154 Wascana Ridge PLACE|Regina, Saskatchewan S4V2S1",S4V2S1,"$579,000",579000,"Single Family",House,5,3,"1758 sqft",,"5512 sqft",1994,"Attached Garage, Heated Garage, Parking Space(s) (4)",4,Freehold,"Forced air, (Natural gas)","Central air conditioning","Full (Finished)","Qing Zhang","Royal LePage Next Level",,"$7,017 (CAD)",10052393,589800,602500,471800,482000,4590.03,5200.39,2014.58,2058.14,412.53,460.86,7017.14,7719.39,"Residential (100.00%)",Residential,5512,4,"Direct Sales"
SK027077,Regina,"5409 Nicholson AVENUE|Regina, Saskatchewan S4V4B3",S4V4B3,"$579,000",579000,"Single Family",House,3,3,"1736 sqft",,"4201 sqft",2023,"Attached Garage, Parking Space(s) (4)",4,Freehold,"Forced air, (Natural gas)","Central air conditioning","Full (Unfinished)","Wei (David) Meng Realty Prof. Corp.","Century 21 Dome Realty Inc.",,"$6,482 (CAD)",10359359,505100,506100,404000,404800,3930.42,4367.46,1725.08,1728.49,353.25,387.04,6008.75,6482.99,"Residential (100.00%)",Residential,4201,4,"Direct Sales"
SK021881,Regina,"3149 Favel DRIVE|Regina, Saskatchewan S4V4C7",S4V4C7,"$574,100",574100,"Single Family",House,3,3,"1619 sqft",,"4271 sqft",2025,"Attached Garage, Parking Space(s) (4)",4,Freehold,"Forced air, (Natural gas)","Central air conditioning","Full (Unfinished)","Heather Szeles","RE/MAX Crown Real Estate",,,10374098,142400,142400,113900,113900,1108.10,1228.89,486.34,486.34,99.59,108.90,1694.03,1824.13,"Residential (100.00%)",Residential,4271,4,"Direct Sales"
SK012287,Regina,"3005 Dumont WAY|Regina, Saskatchewan S4V3Z3",S4V3Z3,"$569,900",569900,"Single Family",House,4,3,"1612 sqft",,"4017 sqft",2025,"Attached Garage, Parking Space(s) (4)",4,Freehold,"Forced air, (Natural gas)",,"Full (Unfinished)","Jazz Gill","eXp Realty",,,10376341,126800,126800,101400,101400,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,"Residential (100.00%)",Residential,3570,4,Cost
SK026835,Regina,"3020 Dumont WAY|Regina, Saskatchewan S4V3Z3",S4V3Z3,"$564,900",564900,"Single Family",House,3,3,"1657 sqft",,"3525 sqft",2026,"Attached Garage, Parking Space(s) (4)",4,Freehold,"Forced air, (Natural gas)","Air exchanger","Full (Unfinished)","Patrick Allingham","Century 21 Dome Realty Inc.",,,10376305,125200,125200,100100,100100,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,"Residential (100.00%)",Residential,3525,4,Cost
SK028491,Regina,"7200 6th AVENUE|Regina, Saskatchewan S4T0P2",S4T0P2,"$559,900",559900,"Single Family",House,2,2,"1278 sqft",,"12030 sqft",1965,"Attached Garage, Parking Pad, RV, Heated Garage, Parking Space(s) (12)",12,Freehold,"Forced air, Hot Water, In Floor Heating, (Natural gas)","Central air conditioning","Full (Unfinished)","Kyle Knapp","Realty Hub Brokerage",,"$5,374 (CAD)",10106916,404600,404600,323600,323600,3148.22,3491.38,1381.77,1381.77,282.95,309.40,5004.04,5373.65,"Residential (100.00%)",Residential,12030,8,"Direct Sales"
SK022201,Regina,"THORWELL LAND|Edenwold Rm No.158, Saskatchewan S0G3Z0",S0G3Z0,"$549,999",549999,"Vacant Land",,,,,,"3.44 ac",,,,Freehold,,,,"John Chung","RE/MAX Crown Real Estate",,,,,,,,,,,,,,,,,,,,
SK028451,Regina,"2006 Assiniboine AVENUE E|Regina, Saskatchewan S4V2E2",S4V2E2,"$549,900",549900,"Single Family",House,4,4,"1959 sqft",,"6222 sqft",1987,"Attached Garage, Heated Garage, Parking Space(s) (4)",4,Freehold,"Forced air, (Natural gas)","Central air conditioning, Air exchanger","Full (Finished)","James Newman","Coldwell Banker Local Realty",,"$6,167 (CAD)",10051241,518400,518400,414700,414700,4034.52,4474.28,1770.76,1770.76,362.60,396.51,6167.88,6641.55,"Residential (100.00%)",Residential,6222,4,"Direct Sales"
SK028339,Regina,"3418 Keohan CRESCENT|Regina, Saskatchewan S4V1J5",S4V1J5,"$549,900",549900,"Single Family",House,6,4,"2260 sqft",,"8225 sqft",1985,"Attached Garage, Parking Space(s) (4)",4,Freehold,"Forced air, (Natural gas)","Central air conditioning","Full (Finished)","Ashley Oddo","RE/MAX Crown Real Estate",,"$6,122 (CAD)",10051568,514600,514600,411600,411600,4004.36,4440.83,1757.53,1757.53,359.89,393.54,6121.78,6591.90,"Residential (100.00%)",Residential,8225,4,"Direct Sales"
SK026836,Regina,"3024 Dumont WAY|Regina, Saskatchewan S4V3Z3",S4V3Z3,"$539,900",539900,"Single Family",House,3,3,"1584 sqft",,"3755 sqft",2026,"Attached Garage, Parking Space(s) (4)",4,Freehold,"Forced air, (Natural gas)","Central air conditioning","Full (Unfinished)","Patrick Allingham","Century 21 Dome Realty Inc.",,,10376304,133400,133400,106700,106700,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,"Residential (100.00%)",Residential,3755,4,Cost
SK026843,Regina,"3016 Dumont WAY|Regina, Saskatchewan S4V3B3",S4V3B3,"$534,900",534900,"Single Family",,3,3,"1671 sqft",,"3283 sqft",2026,"Attached Garage, Parking Space(s) (4)",4,Freehold,"Forced air, (Natural gas)","Air exchanger","Full (Unfinished)","Patrick Allingham","Century 21 Dome Realty Inc.",,,10376306,116600,116600,93200,93200,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,"Residential (100.00%)",Residential,3283,4,Cost
SK026845,Regina,"3008 Dumont WAY|Regina, Saskatchewan S4V3B3",S4V3B3,"$534,900",534900,"Single Family",,3,3,"1671 sqft",,"3276 sqft",2026,"Attached Garage, Parking Space(s) (4)",4,Freehold,"Forced air, (Natural gas)","Air exchanger","Full (Unfinished)","Patrick Allingham","Century 21 Dome Realty Inc.",,,10376308,116400,116400,93100,93100,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,"Residential (100.00%)",Residential,3276,4,Cost
SK028961,Regina,"3745 Green Moss LANE|Regina, Saskatchewan S4V1P6",S4V1P6,"$529,900",529900,"Single Family",House,3,3,"1478 sqft",,"5020 sqft",2013,"Attached Garage, Parking Space(s) (4)",4,Freehold,"Forced air, (Natural gas)","Central air conditioning, Air exchanger","Full (Partially finished)","Lori Patrick","Sutton Group - Results Realty","2 days ago",,10255575,485800,487900,388600,390300,3780.59,4211.02,1659.32,1666.58,339.78,373.18,5779.69,6250.78,"Residential (100.00%)",Residential,5020,4,"Direct Sales"
SK026027,Regina,"3145 Green Turtle ROAD|Regina, Saskatchewan S4V4C5",S4V4C5,"$529,900",529900,"Single Family",House,3,3,"1560 sqft",,"3376 sqft",2025,"Attached Garage, Parking Space(s) (4)",4,Freehold,"Forced air, (Natural gas)",,"Full (Unfinished)","Myles Schick","eXp Realty",,,10374058,119900,119900,95900,95900,932.98,1034.68,409.48,409.48,83.85,91.69,1426.31,1535.85,"Residential (100.00%)",Residential,3376,4,"Direct Sales"
SK026141,Regina,"3154 Bowen STREET|Regina, Saskatchewan S4V4C6",S4V4C6,"$529,900",529900,"Single Family",House,3,3,"1560 sqft",,"3627 sqft",2025,"Attached Garage, Parking Pad, Parking Space(s) (4)",4,Freehold,"Forced air, (Natural gas)","Air exchanger","Full (Partially finished)","Lori Patrick","Sutton Group - Results Realty",,,10374046,128800,128800,103000,103000,1002.06,1111.28,439.80,439.80,90.06,98.48,1531.92,1649.56,"Residential (100.00%)",Residential,3627,4,"Direct Sales"
SK028785,Regina,"2738 Alfred CRESCENT|Regina, Saskatchewan S4V1E5",S4V1E5,"$525,000",525000,"Single Family",House,4,4,"1684 sqft",,"4784 sqft",2008,"Attached Garage, Parking Space(s) (4)",4,Freehold,"Forced air",,"Full (Finished)","Gurdeep Sandhu","eXp Realty","4 days ago","$6,790 (CAD)",10108043,532000,530100,425600,424000,4140.56,4574.62,1817.31,1810.48,372.13,405.40,6330.00,6790.50,"Residential (100.00%)",Residential,4784,5,"Direct Sales"
SK026834,Regina,"3004 Dumont WAY|Regina, Saskatchewan S4V3B3",S4V3B3,"$524,900",524900,"Single Family",,3,3,"1581 sqft",,"3270 sqft",2026,"Attached Garage, Parking Space(s) (4)",4,Freehold,"Forced air, (Natural gas)","Central air conditioning","Full (Unfinished)","Patrick Allingham","Century 21 Dome Realty Inc.",,,10376309,116100,116100,92800,92800,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,"Residential (100.00%)",Residential,3270,4,Cost
SK026841,Regina,"3012 Dumont WAY|Regina, Saskatchewan S4V3B3",S4V3B3,"$524,900",524900,"Single Family",,3,3,"1581 sqft",,"3280 sqft",2026,"Attached Garage, Parking Space(s) (4)",4,Freehold,"Forced air, (Natural gas)","Central air conditioning","Full (Unfinished)","Patrick Allingham","Century 21 Dome Realty Inc.",,,10376307,116500,116500,93200,93200,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,"Residential (100.00%)",Residential,3280,4,Cost
SK010720,Regina,"2460 Lindsay STREET|Regina, Saskatchewan S4N3C6",S4N3C6,"$524,900",524900,"Single Family",House,4,4,"1482 sqft",,"3125 sqft",2025,,,Freehold,"Forced air, (Natural gas)",,"Full (Finished)","Paul Woldu","eXp Realty",,,10042687,66800,410800,53400,328600,519.51,3545.33,228.01,1403.12,46.69,314.18,895.21,5363.63,"Residential (100.00%)",Residential,3125,6,Cost
SK027966,Regina,"5102 Snowbirds CRESCENT|Regina, Saskatchewan S0G4G0",S0G4G0,"$519,900",519900,"Single Family",House,3,3,"1889 sqft",,"4599 sqft",2013,"Attached Garage, Covered, Parking Pad, Parking Space(s) (4)",4,Freehold,"Forced air, (Natural gas)","Central air conditioning","Full (Unfinished)","Anna Liu","RE/MAX Crown Real Estate",,"$6,191 (CAD)",10252039,520400,524300,416300,419400,4050.08,4524.99,1777.60,1790.83,364.00,401.00,6191.68,6716.82,"Residential (100.00%)",Residential,4599,2,"Direct Sales"
SK027657,Regina,"4740 Ferndale CRESCENT|Regina, Saskatchewan S4V4A3",S4V4A3,"$509,900",509900,"Single Family",,3,3,"1581 sqft",,"2979 sqft",2026,"Attached Garage, Parking Space(s) (4)",4,Freehold,"Forced air, (Natural gas)","Central air conditioning","Full (Unfinished)","Patrick Allingham","Century 21 Dome Realty Inc.",,,10367361,53900,53900,43100,43100,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,"Residential (100.00%)",Residential,2979,4,"Direct Sales"
SK020500,Regina,"4768 Ferndale CRESCENT|Regina, Saskatchewan S4V4A3",S4V4A3,"$509,900",509900,"Single Family",,3,3,"1671 sqft",,"5320 sqft",2025,"Attached Garage, Parking Space(s) (4)",4,Freehold,"Forced air, (Natural gas)","Central air conditioning, Air exchanger","Full (Unfinished)","Patrick Allingham","Century 21 Dome Realty Inc.",,,10367368,72000,72000,57600,57600,0.00,0.00,0.00,0.00,0.00,0.00,161.32,161.32,"Residential (100.00%)",Residential,3979,4,"Direct Sales"
